Data,Open,High,Low,Close,Volume,OI
2015-01-26 00:00:00,8.56,8.56,8.01,8.49,206525,1830
2015-01-27 00:00:00,8.34,8.60,8.05,8.34,180426,2635
2015-01-28 00:00:00,8.34,8.38,8.05,8.34,248922,1233
2015-01-29 00:00:00,8.38,8.42,8.09,8.16,127510,1579
2015-01-30 00:00:00,8.12,8.12,7.87,8.01,342317,1707
2015-02-02 00:00:00,8.16,8.16,7.54,7.83,290094,1796
2015-02-03 00:00:00,7.83,7.98,7.76,7.94,174514,1102
2015-02-04 00:00:00,7.90,7.98,7.72,7.72,119787,1058
2015-02-05 00:00:00,7.72,9.88,7.72,9.88,1904770,7189
2015-02-06 00:00:00,9.95,10.50,9.40,10.10,913956,9013
2015-02-09 00:00:00,10.21,10.21,9.62,10.03,451399,8448
2015-02-10 00:00:00,10.17,10.21,9.44,9.88,332677,6128
2015-02-11 00:00:00,10.25,11.20,10.03,10.76,973503,5603
2015-02-12 00:00:00,11.20,12.55,11.12,12.15,605460,2447
2015-02-13 00:00:00,12.26,12.95,11.16,11.64,432650,1741
2015-02-18 00:00:00,11.53,11.78,11.02,11.45,367883,1560
2015-02-19 00:00:00,11.34,11.60,10.91,11.31,249774,2106
2015-02-20 00:00:00,11.34,11.64,11.12,11.27,284767,1288
2015-02-23 00:00:00,11.34,11.75,11.09,11.75,334488,1701
2015-02-24 00:00:00,11.49,11.86,11.49,11.67,327058,1410
2015-02-25 00:00:00,11.49,11.89,11.34,11.89,254275,2112
2015-02-26 00:00:00,12.00,12.22,11.71,12.04,516485,4107
2015-02-27 00:00:00,12.00,12.15,11.71,12.04,247138,2075
2015-03-02 00:00:00,12.04,12.19,11.42,12.19,402131,3174
2015-03-03 00:00:00,12.15,12.15,11.53,11.78,420240,2038
2015-03-04 00:00:00,11.60,11.86,11.16,11.53,338589,4293
2015-03-05 00:00:00,11.64,12.00,11.09,11.27,881573,4024
2015-03-06 00:00:00,11.16,11.31,10.61,10.76,316538,3648
2015-03-09 00:00:00,10.54,10.69,9.84,9.95,289268,2085
2015-03-10 00:00:00,9.84,10.17,9.55,9.70,452810,4721
2015-03-11 00:00:00,9.73,10.06,9.51,9.70,231239,1539
2015-03-12 00:00:00,9.66,9.99,9.59,9.70,268363,1715
2015-03-13 00:00:00,9.70,10.14,9.51,9.95,170626,1528
2015-03-16 00:00:00,9.99,10.21,9.73,10.03,177923,1166
2015-03-17 00:00:00,10.03,10.25,9.81,10.14,337151,2008
2015-03-18 00:00:00,10.14,10.72,10.06,10.61,292970,1347
2015-03-19 00:00:00,10.80,10.80,10.28,10.61,173982,1678
2015-03-20 00:00:00,10.69,10.98,10.17,10.61,1627832,8673
2015-03-23 00:00:00,10.65,10.83,10.39,10.39,233050,1716
2015-03-24 00:00:00,10.47,10.65,10.10,10.43,283223,1309
2015-03-25 00:00:00,10.54,10.54,10.17,10.39,320373,1294
2015-03-26 00:00:00,10.39,10.54,9.92,10.06,322584,2133
2015-03-27 00:00:00,10.03,10.17,9.66,9.66,313076,2470
2015-03-30 00:00:00,9.62,9.88,9.62,9.77,203489,1942
2015-03-31 00:00:00,9.84,9.84,9.51,9.77,265913,1852
2015-04-01 00:00:00,9.81,9.84,9.26,9.51,214008,2069
