Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,21.16,22.52,20.42,20.72,8643900,20.03
2011-09-19,23.49,24.02,20.61,21.13,7793100,20.42
2011-09-12,23.76,24.77,23.39,24.24,5310100,23.43
2011-09-06,24.20,25.84,24.07,24.28,5011900,23.47
2011-08-29,25.66,26.73,24.69,25.40,6646000,24.55
2011-08-22,25.58,25.75,24.58,25.27,6714500,24.43
2011-08-15,26.03,26.80,24.89,24.92,7986700,24.09
2011-08-08,24.50,25.95,23.24,25.67,14250800,24.81
2011-08-01,31.11,31.11,25.09,26.01,10722700,25.14
2011-07-25,30.55,31.62,30.24,30.73,5679300,29.45
2011-07-18,29.42,30.23,29.08,30.09,5586100,28.83
2011-07-11,29.93,30.26,29.32,29.69,5967000,28.45
2011-07-05,30.86,31.14,30.09,30.53,4846900,29.25
2011-06-27,28.87,31.13,28.83,30.96,5199800,29.67
2011-06-20,29.58,30.29,28.59,28.92,5579400,27.71
2011-06-13,30.15,30.39,29.02,29.72,4535300,28.48
2011-06-06,30.63,30.71,29.48,30.07,7123400,28.81
2011-05-31,31.27,31.28,30.40,30.73,8372200,29.45
2011-05-23,29.24,30.93,29.13,30.88,6830700,29.59
2011-05-16,29.43,31.01,29.28,30.23,9077400,28.97
2011-05-09,30.59,31.31,29.00,29.17,8372100,27.95
2011-05-02,33.35,33.70,30.18,30.46,9875500,28.94
2011-04-25,34.02,34.19,32.28,33.37,7096000,31.56
2011-04-18,33.19,34.33,32.37,34.28,6895500,32.42
2011-04-11,35.86,36.01,33.07,33.86,9998500,32.03
2011-04-04,36.21,36.34,35.39,36.22,6817500,34.26
2011-03-28,35.06,36.16,34.62,36.10,6044100,34.14
2011-03-21,34.40,35.33,34.07,35.24,7251000,33.33
2011-03-14,34.29,34.76,33.42,33.95,8952200,31.93
2011-03-07,36.18,36.81,33.85,34.40,7791400,32.36
2011-02-28,34.93,36.08,34.45,35.85,9613500,33.72
2011-02-22,33.80,35.66,33.65,35.30,18557800,33.20
2011-02-14,31.93,33.55,31.93,33.54,7717600,31.55
2011-02-07,33.62,33.85,31.80,32.16,10883200,30.25
2011-01-31,32.45,34.40,32.40,33.82,10999800,31.81
2011-01-24,32.56,33.25,31.66,32.37,8870800,30.45
2011-01-18,33.73,34.04,32.59,32.81,8462000,30.86
2011-01-10,32.29,34.22,32.10,33.40,10232800,31.42
2011-01-03,33.65,33.90,32.24,32.40,10436500,30.48
2010-12-27,30.95,34.17,30.92,34.17,4716100,32.14
2010-12-20,30.84,31.17,30.46,31.01,7115400,29.17
2010-12-13,30.89,31.31,30.17,30.94,7996000,28.88
2010-12-06,31.14,31.80,29.90,30.59,7677600,28.55
2010-11-29,29.09,31.14,28.65,31.14,9178300,29.06
2010-11-22,30.18,30.36,28.79,29.20,7731600,27.25
2010-11-15,30.98,31.15,29.31,30.52,6190600,28.49
2010-11-08,32.61,33.29,30.38,30.68,10305300,28.64
2010-11-01,31.38,33.41,31.24,32.99,9788800,30.79
2010-10-25,29.26,31.61,29.01,31.19,12030200,28.96
2010-10-18,31.63,32.15,28.66,28.92,11640400,26.86
2010-10-11,31.65,32.39,30.65,31.86,10456900,29.59
2010-10-04,33.13,33.31,29.80,31.31,12641000,29.07
2010-09-27,30.92,33.34,30.60,32.96,14272300,30.61
2010-09-20,31.15,32.20,30.35,30.79,20414600,28.59
2010-09-13,32.20,32.99,30.22,31.15,10011900,28.93
2010-09-07,32.55,32.90,31.38,31.74,7593000,29.47
2010-08-30,29.84,33.21,28.95,33.05,6698300,30.69
2010-08-23,30.84,31.00,28.73,30.14,5994400,27.99
2010-08-16,31.50,32.58,30.10,30.59,5478900,28.41
2010-08-09,33.42,33.50,30.76,31.32,4140000,29.08
2010-08-02,32.12,33.73,32.04,33.25,5444300,30.88
2010-07-26,31.63,32.26,31.15,31.85,4002000,29.37
2010-07-19,30.22,32.28,29.93,31.71,6138000,29.24
2010-07-12,31.36,31.43,30.11,30.15,4643500,27.80
2010-07-06,30.84,31.80,30.06,31.61,6108400,29.14
2010-06-28,31.44,31.60,28.98,30.28,6642500,27.92
2010-06-21,33.77,34.03,30.57,31.39,7484100,28.94
2010-06-14,33.12,33.45,31.93,33.02,5699000,30.44
2010-06-07,31.63,33.25,31.36,32.87,8110000,30.31
2010-06-01,31.78,32.81,30.95,31.34,7757700,28.90
2010-05-24,29.80,31.16,27.37,30.97,10003800,28.55
2010-05-17,33.37,33.75,28.49,29.97,11413900,27.43
2010-05-10,34.55,34.81,32.39,33.31,6066800,30.49
2010-05-03,37.52,37.83,30.03,31.96,11782800,29.25
2010-04-26,39.07,39.08,36.05,37.94,5918600,34.72
2010-04-19,37.14,39.20,36.97,38.72,5156600,35.44
2010-04-12,40.06,40.22,37.11,37.38,5438500,33.97
2010-04-05,40.91,41.46,39.66,40.07,5088200,36.41
2010-03-29,37.96,40.64,37.80,40.56,6287400,36.86
2010-03-22,39.54,41.04,37.58,38.04,7293200,34.57
2010-03-15,41.95,42.58,40.30,40.50,5440400,36.80
2010-03-08,40.16,42.38,39.70,42.13,5381800,38.28
2010-03-01,38.67,40.40,38.23,40.40,5167000,36.71
2010-02-22,38.42,38.55,36.15,38.40,5521300,34.89
2010-02-16,37.08,38.44,36.67,38.10,4533500,34.62
2010-02-08,33.92,36.68,33.52,36.49,6812100,33.16
2010-02-01,36.44,37.61,32.56,34.07,7017100,30.96
2010-01-25,38.28,38.57,35.80,36.08,7276300,32.79
2010-01-19,41.07,41.58,37.47,37.89,8948000,34.43
2010-01-11,43.57,43.90,40.36,40.58,7925300,36.87
2010-01-04,43.50,43.99,42.90,43.50,4677600,39.53
2009-12-28,42.71,43.09,42.12,42.39,2021500,38.52
2009-12-21,41.65,42.65,40.59,42.29,3444000,38.43
2009-12-14,43.93,44.51,41.30,41.47,5671600,37.48
2009-12-07,44.99,45.52,42.64,43.57,5968600,39.38
2009-11-30,45.33,47.62,44.46,45.29,6426900,40.93
2009-11-23,45.59,46.81,44.05,44.94,5162200,40.62
2009-11-16,43.98,46.09,43.50,43.94,5624000,39.71
2009-11-09,43.50,44.98,42.65,43.70,5882600,39.50
2009-11-02,40.46,43.03,39.27,42.65,4936400,38.55
2009-10-26,43.24,43.90,38.91,40.12,9116100,36.26
2009-10-19,42.81,44.14,40.94,42.79,6864000,38.67
2009-10-12,41.68,43.10,40.99,42.69,5558000,38.58
2009-10-05,38.54,41.19,38.08,41.11,6979600,37.15
2009-09-28,38.25,39.76,37.37,38.31,7436300,34.62
